date,Observed,Predicted
1/21/2018,-0.029250439,0.003439
1/28/2018,0.005077656,0.000976
2/4/2018,-0.064629802,0.00785
2/11/2018,0.038149787,0.010909
2/18/2018,0.03486974,0.006148
2/25/2018,-0.010148075,0.000356
3/4/2018,0.016181211,0.001337
3/11/2018,-0.030940235,0.005885
3/18/2018,-0.007964937,0.008889
3/25/2018,0.008948461,0.008361
